time,total_length,FPS,behavior,behavioral_category,status,participantID,block,start_timestamp,duration_ms,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,confidence,time_pupil,time_dif
0.954,129.95,20.97,l_3_ob,3Orange,POINT,12,1,3409.062981,371.5879999999743,16,27,0.3938550358052511,0.38790077498017395,0.7604920688822201,0.8693750000002183,0.08462499999978168
1.049,129.95,20.97,l_1t,1transparent,POINT,12,1,3409.062981,371.5879999999743,16,27,0.3938550358052511,0.38790077498017395,0.7604920688822201,0.8693750000002183,0.17962499999978165
2.337,129.95,20.97,l_4yr_1,4YellowRound,POINT,12,1,3410.422831,248.6935000001722,55,61,0.17923198170855714,0.5014744858573467,0.7772240433678385,2.229225000000042,0.10777499999995799
2.623,129.95,20.97,l_1t,1transparent,POINT,12,1,3410.742007,218.58700000029785,63,70,0.274371395812143,0.5277592806287521,0.9231140140965615,2.5484010000000126,0.07459899999998765
2.957,129.95,20.97,l_4r_1,4Red,POINT,12,1,3411.0584495000003,156.52849999969476,72,76,0.3082547634431936,0.5442420931794297,0.9449045324806534,2.864843500000461,0.09215649999953879
3.91,129.95,20.97,l_1t,1transparent,POINT,12,1,3412.220345,138.78100000010818,102,106,0.3223543656327987,0.5332921050672372,0.8175281304386306,4.026739000000362,0.11673900000036141
5.484,129.95,20.97,l_2dr_1,2DarkRed,POINT,12,1,3413.8013360000004,123.61499999951775,147,151,0.32446757882191585,0.3703550552414469,0.8165016347937311,5.607730000000629,0.12373000000062895
6.104,129.95,20.97,l_3_om,3Orange,POINT,12,1,3414.151933,108.06700000011915,158,161,0.2653941913648461,0.359677722747518,0.8292743583554912,5.958327000000281,0.14567299999971883
9.728,129.95,20.97,l_4yr_1,4YellowRound,POINT,12,1,3418.025316,297.81499999990046,243,252,0.25036050296829393,0.5664728031737943,0.7858321351946763,9.831710000000385,0.103710000000385
10.062,129.95,20.97,l_1t,1transparent,POINT,12,1,3418.4133300000003,263.31249999975626,254,262,0.25611838388203345,0.6598861643126653,0.8504338995572637,10.219724000000497,0.15772400000049736
11.779,129.95,20.97,l_4r_2,4Red,POINT,12,1,3420.137771,257.3969999998553,303,310,0.519314926937902,0.4728045840594837,0.8459461581940797,11.94416500000034,0.1651650000003393
12.923,129.95,20.97,l_3_om,3Orange,POINT,12,1,3421.2645970000003,80.71549999976924,337,339,0.5181680957882031,0.5878433777575047,0.7767739081375604,13.070991000000504,0.1479910000005038
13.305,129.95,20.97,l_1t,1transparent,POINT,12,1,3421.4591895000003,194.27249999989726,342,346,0.5092478913828419,0.4917402501431251,0.7909194038683907,13.265583500000503,0.039416499999497034
15.308,129.95,20.97,l_2dr_1,2DarkRed,POINT,12,1,3423.7475,143.01900000009482,406,406,0.3556838420144983,0.4191094432383732,0.8033613679923736,15.553894000000128,0.24589400000012773
17.024,129.95,20.97,l_2dr_1,2DarkRed,POINT,12,1,3425.507379,81.38599999983853,432,435,0.4034404097009528,0.24361087525648537,0.8914792852777665,17.31377300000031,0.28977300000030937
17.501,129.95,20.97,l_3_os,3Orange,POINT,12,1,3425.850783,86.45100000012462,442,445,0.47133764283204693,0.23412444748809547,0.7784410618927791,17.657177000000047,0.15617700000004575
18.741,129.95,20.97,u_1t,1transparent,START,12,1,3426.9192630000002,115.23099999976694,471,475,0.2889771098093487,0.2878829156267559,0.8076391706903873,18.72565700000041,0.015342999999589324
18.836,129.95,20.97,u_2dr_1,2DarkRed,START,12,1,3427.039268,169.38200000004144,475,480,0.3015430381606485,0.3223982069876156,0.7651709330866417,18.845662000000175,0.009662000000176363
19.456,129.95,20.97,l_1t,1transparent,POINT,12,1,3427.6427670000003,196.2799999996605,493,499,0.27556259400087096,0.41584679625986115,0.7828666818074588,19.44916100000046,0.006838999999541073
20.505,129.95,20.97,l_3_os,3Orange,POINT,12,1,3428.5675180000003,224.02199999987715,520,526,0.27192816731825775,0.25283120758610506,0.8966805180137568,20.373912000000473,0.1310879999995258
20.839,129.95,20.97,l_2dr_1,2DarkRed,POINT,12,1,3428.9432645,83.87850000008257,527,530,0.4910697822319284,0.4061227041326133,0.8106844257389045,20.74965850000035,0.08934149999964802
